time,adservice_cpu,cartservice_cpu,checkoutservice_cpu,currencyservice_cpu,emailservice_cpu,frontend_cpu,paymentservice_cpu,productcatalogservice_cpu,recommendationservice_cpu,redis_cpu,shippingservice_cpu,adservice_mem,cartservice_mem,checkoutservice_mem,currencyservice_mem,emailservice_mem,frontend_mem,paymentservice_mem,productcatalogservice_mem,recommendationservice_mem,redis_mem,shippingservice_mem,adservice_diskio,emailservice_diskio,recommendationservice_diskio,redis_diskio,adservice_socket,cartservice_socket,checkoutservice_socket,currencyservice_socket,emailservice_socket,frontend_socket,paymentservice_socket,productcatalogservice_socket,recommendationservice_socket,redis_socket,shippingservice_socket,adservice_workload,cartservice_workload,checkoutservice_workload,currencyservice_workload,emailservice_workload,frontend_workload,frontend-external_workload,paymentservice_workload,productcatalogservice_workload,recommendationservice_workload,shippingservice_workload,frontend_error,frontend-external_error,adservice_latency-50,cartservice_latency-50,checkoutservice_latency-50,currencyservice_latency-50,emailservice_latency-50,frontend_latency-50,paymentservice_latency-50,productcatalogservice_latency-50,recommendationservice_latency-50,shippingservice_latency-50,adservice_latency-90,cartservice_latency-90,checkoutservice_latency-90,currencyservice_latency-90,emailservice_latency-90,frontend_latency-90,paymentservice_latency-90,productcatalogservice_latency-90,recommendationservice_latency-90,shippingservice_latency-90
1705486138,0.6811926605504529,2.062487838776923,0.42525516589259693,30.904605005318974,0.3189284002266091,7.784791876851062,0.7244034090909073,3.9235168134949894,2.9058873703963624,0.24345898947814051,0.28342337219221236,105877504,43151360,11481088,44142592,43401216,15192064,36737024,9940992,45981696,2961408,8671232,80909.52987138405,0,0,0,4,4,9,4,3,24,3,4,4,4,2,15.8,26.4,0.8,80.933,0.733,14,14.2,0.533,148.986,20.6,7.333,0,0,0.0030030257186081694,0.0031705426356589145,0.10681818181818181,0.0036439393939393942,0.003,0.047719194312796205,0.0035625,0.00207027066688351,0.007586649550706034,0.0029556962025316454,0.004615128593040847,0.0049069767441860465,0.22136363636363637,0.03965517241379313,0.0046,0.18514084507042247,0.007722222222222223,0.004432031733283424,0.00971245186136072,0.0046215189873417715
1705486139,0.6811926605504529,2.062487838776923,0.42525516589259693,30.904605005318974,0.3189284002266091,7.784791876851062,0.7244034090909073,3.9235168134949894,2.9058873703963624,0.23858127368594134,0.28342337219221236,105877504,43151360,11481088,44142592,43401216,15192064,36737024,9940992,45981696,2961408,8671232,80909.52987138405,0,0,0,4,4,9,4,3,24,3,4,4,4,2,15.8,27.067,1.133,82.267,1.067,14,14.2,0.867,149.986,20.6,8,0,0,0.0030030257186081694,0.0031663442940038683,0.10681818181818181,0.003657764212132774,0.003,0.047719194312796205,0.003411764705882353,0.0020687447062956005,0.007586649550706034,0.002949526813880126,0.004615128593040847,0.004899419729206963,0.22136363636363637,0.03996341463414638,0.0046,0.18514084507042247,0.007071428571428572,0.004431756047720002,0.00971245186136072,0.004610094637223975
1705486140,0.6811926605504529,2.062487838776923,0.3967287538716127,30.904605005318974,0.3189284002266091,7.784791876851062,0.7244034090909073,3.9235168134949894,2.9058873703963624,0.23370355789374223,0.2680951674123713,105877504,43151360,11628544,44142592,43401216,15192064,36737024,9940992,45981696,2961408,8675328,80909.52987138405,0,0,0,4,4,9,4,3,24,3,4,4,4,2,15.8,27.067,1.133,82.267,1.067,14,14.2,0.933,149.986,20.6,8,0,0,0.0030030257186081694,0.0031663442940038683,0.10681818181818181,0.003657764212132774,0.003,0.047719194312796205,0.0034516129032258064,0.0020687447062956005,0.007586649550706034,0.002949526813880126,0.004615128593040847,0.004899419729206963,0.22136363636363637,0.03996341463414638,0.0046,0.18514084507042247,0.007285714285714287,0.004431756047720002,0.00971245186136072,0.004610094637223975
1705486141,0.7311008973517114,2.062487838776923,0.3967287538716127,30.904605005318974,0.3189284002266091,7.784791876851062,0.7244034090909073,3.9235168134949894,2.9058873703963624,0.22882584210154305,0.2680951674123713,105877504,43151360,11628544,44142592,43401216,15192064,36737024,9940992,45981696,2961408,8675328,59765.08353396075,0,0,0,4,4,9,4,3,24,3,4,4,4,2,15.8,27.067,1.133,82.267,1.067,14,14.2,0.933,149.986,20.6,8,0,0,0.0030030257186081694,0.0031663442940038683,0.10681818181818181,0.003657764212132774,0.003,0.047719194312796205,0.0034516129032258064,0.0020687447062956005,0.007586649550706034,0.002949526813880126,0.004615128593040847,0.004899419729206963,0.22136363636363637,0.03996341463414638,0.0046,0.18514084507042247,0.007285714285714287,0.004431756047720002,0.00971245186136072,0.004610094637223975
1705486142,0.7311008973517114,2.062487838776923,0.3967287538716127,30.904605005318974,0.3189284002266091,7.784791876851062,0.6134680206511064,3.9235168134949894,2.9058873703963624,0.22394812630934388,0.2680951674123713,105877504,43151360,11628544,44142592,43401216,15192064,37072896,9940992,45981696,2961408,8675328,59765.08353396075,0,0,0,4,4,9,4,3,24,3,4,4,4,2,15.8,27.067,1.133,82.267,0.733,14,14.2,0.933,146.214,20.6,8,0,0,0.0030030257186081694,0.0031663442940038683,0.10681818181818181,0.003657764212132774,0.003,0.047719194312796205,0.0034516129032258064,0.002032967032967033,0.007586649550706034,0.002949526813880126,0.004615128593040847,0.004899419729206963,0.22136363636363637,0.03996341463414638,0.0046,0.18514084507042247,0.007285714285714287,0.004424940277114191,0.00971245186136072,0.004610094637223975
1705486143,0.7311008973517114,2.062487838776923,0.3967287538716127,30.904605005318974,0.3189284002266091,7.781997847771239,0.6134680206511064,3.8378391582768034,2.88204646737772,0.2190704105171447,0.2680951674123713,105877504,43151360,11628544,44142592,43401216,15622144,37072896,10768384,45981696,2961408,8675328,59765.08353396075,0,0,0,4,4,9,4,3,24,3,4,4,4,2,15.8,27.067,1.133,82.267,0.733,14,14.2,0.933,146.214,20.6,8,0,0,0.0030030257186081694,0.0031663442940038683,0.10681818181818181,0.003657764212132774,0.003,0.047719194312796205,0.0034516129032258064,0.002032967032967033,0.007586649550706034,0.002949526813880126,0.004615128593040847,0.004899419729206963,0.22136363636363637,0.03996341463414638,0.0046,0.18514084507042247,0.007285714285714287,0.004424940277114191,0.00971245186136072,0.004610094637223975
1705486144,0.7311008973517114,2.062487838776923,0.3967287538716127,30.904605005318974,0.3189284002266091,7.781997847771239,0.6134680206511064,3.8378391582768034,2.88204646737772,0.29456438161707976,0.2680951674123713,105877504,43151360,11628544,44142592,43401216,15622144,37072896,10768384,45981696,2961408,8675328,59765.08353396075,0,0,0,4,4,9,4,3,24,3,4,4,4,2,15.067,27.067,1.133,82.267,0.733,14,14.2,0.933,146.214,20.6,8,0,0,0.0030059970014992506,0.0031663442940038683,0.10681818181818181,0.003657764212132774,0.003,0.047719194312796205,0.0034516129032258064,0.002032967032967033,0.007586649550706034,0.002949526813880126,0.004615592203898052,0.004899419729206963,0.22136363636363637,0.03996341463414638,0.0046,0.18514084507042247,0.007285714285714287,0.004424940277114191,0.00971245186136072,0.004610094637223975
1705486145,0.7311008973517114,2.062487838776923,0.3967287538716127,25.301342579479602,0.29993283653692027,7.781997847771239,0.6134680206511064,3.8378391582768034,2.88204646737772,0.29456438161707976,0.2680951674123713,105877504,43151360,11628544,44142592,43401216,15622144,37072896,10768384,45981696,2961408,8675328,59765.08353396075,0,0,0,4,4,9,4,3,24,3,4,4,4,2,14.4,25,0.733,75.667,0.733,11.333,11.667,0.933,135.747,19.067,7.2,0,0,0.003006051437216339,0.0031248799231508163,0.09791666666666667,0.003594104308390022,0.003,0.046275981524249415,0.0034516129032258064,0.002004411764705882,0.007541935483870969,0.0029488817891373804,0.004615733736762481,0.0048247838616714694,0.21916666666666668,0.035926966292134814,0.0046,0.16127118644067787,0.007285714285714287,0.004414215686274509,0.00963225806451613,0.004610223642172524
1705486146,0.7603083015734529,2.062487838776923,0.3967287538716127,24.786265829390953,0.29993283653692027,7.781997847771239,0.6134680206511064,3.719539633871436,2.88204646737772,0.29456438161707976,0.2680951674123713,106004480,43151360,11628544,44142592,43401216,15622144,37072896,10768384,45981696,2961408,8675328,52326.101305171724,0,0,0,4,4,9,4,3,24,3,4,4,4,2,14.4,25,0.733,75.667,0.733,11.333,11.667,0.933,135.747,19.067,7.2,0,0,0.003006051437216339,0.0031248799231508163,0.09791666666666667,0.003594104308390022,0.003,0.046275981524249415,0.0034516129032258064,0.002004411764705882,0.007541935483870969,0.0029488817891373804,0.004615733736762481,0.0048247838616714694,0.21916666666666668,0.035926966292134814,0.0046,0.16127118644067787,0.007285714285714287,0.004414215686274509,0.00963225806451613,0.004610223642172524
1705486147,0.7603083015734529,2.1449840174814443,0.3967287538716127,24.271189079302303,0.29993283653692027,7.781997847771239,0.6134680206511064,3.719539633871436,2.88204646737772,0.29456438161707976,0.2680951674123713,106004480,43212800,11628544,44142592,43401216,15622144,37072896,10768384,45981696,2961408,8675328,52326.101305171724,0,0,0,4,4,9,4,3,24,3,4,4,4,2,14.4,25,0.733,75.667,0.733,11.333,11.667,0.933,133.414,16.733,7.2,0,0,0.003006051437216339,0.0031248799231508163,0.09791666666666667,0.003594104308390022,0.003,0.046275981524249415,0.0034516129032258064,0.001999261992619926,0.007503302509907529,0.0029488817891373804,0.004615733736762481,0.0048247838616714694,0.21916666666666668,0.035926966292134814,0.0046,0.16127118644067787,0.007285714285714287,0.004410873308733088,0.009595772787318362,0.004610223642172524
1705486148,0.7603083015734529,2.1449840174814443,0.3967287538716127,23.756112329213654,0.29993283653692027,7.781997847771239,0.6134680206511064,3.719539633871436,2.88204646737772,0.29456438161707976,0.2680951674123713,106004480,43212800,11628544,44142592,43401216,15622144,37072896,10768384,45981696,2961408,8675328,52326.101305171724,0,0,0,4,4,9,4,3,24,3,4,4,4,2,14.4,25,0.733,75.667,0.733,11.333,11.667,0.933,133.414,16.733,7.2,0,0,0.003006051437216339,0.0031248799231508163,0.09791666666666667,0.003594104308390022,0.003,0.046275981524249415,0.0034516129032258064,0.001999261992619926,0.007503302509907529,0.0029488817891373804,0.004615733736762481,0.0048247838616714694,0.21916666666666668,0.035926966292134814,0.0046,0.16127118644067787,0.007285714285714287,0.004410873308733088,0.009595772787318362,0.004610223642172524
1705486149,0.7603083015734529,2.1449840174814443,0.3967287538716127,23.241035579125004,0.24834813781302667,7.781997847771239,0.6134680206511064,3.719539633871436,2.842906659131558,0.29456438161707976,0.2680951674123713,106004480,43212800,11628544,44142592,43401216,15622144,37072896,10768384,45998080,2961408,8675328,52326.101305171724,0,0,0,4,4,9,4,3,24,3,4,4,4,2,14.4,23.067,0.733,69.733,0.733,11.333,11.667,0.933,133.414,16.733,7.2,0,0,0.003006051437216339,0.003111328125,0.09791666666666667,0.0035501915708812263,0.003,0.046275981524249415,0.0034516129032258064,0.001999261992619926,0.007503302509907529,0.0029488817891373804,0.004615733736762481,0.004800390625,0.21916666666666668,0.031078431372549124,0.0046,0.16127118644067792,0.007285714285714287,0.004410873308733088,0.009595772787318362,0.004610223642172524
1705486150,0.7603083015734529,2.1449840174814443,0.3967287538716127,31.180144650074908,0.243349257204078,7.781997847771239,0.6134680206511064,3.719539633871436,2.842906659131558,0.29456438161707976,0.2680951674123713,106004480,43212800,11628544,44142592,43401216,15622144,37072896,10768384,45998080,2961408,8675328,52326.101305171724,0,0,0,4,4,9,4,3,24,3,4,4,4,2,14.4,23.067,0.733,69.733,0.733,11.333,11.667,0.933,133.414,16.733,7.2,0,0,0.003006051437216339,0.003111328125,0.09791666666666667,0.0035501915708812263,0.003,0.046275981524249415,0.0034516129032258064,0.001999261992619926,0.007503302509907529,0.0029488817891373804,0.004615733736762481,0.004800390625,0.21916666666666668,0.031078431372549124,0.0046,0.16127118644067792,0.007285714285714287,0.004410873308733088,0.009595772787318362,0.004610223642172524
1705486151,0.7603083015734529,2.1747476838673023,0.3967287538716127,31.180144650074908,0.29564600654084167,7.781997847771239,0.6134680206511064,3.719539633871436,2.842906659131558,0.29456438161707976,0.2595665825912382,106004480,43212800,11628544,44142592,43401216,15622144,37072896,10768384,45998080,2961408,8679424,52326.101305171724,0,0,0,4,4,9,4,3,24,3,4,4,4,2,14.4,23.067,0.733,69.733,0.733,11.333,11.667,0.933,133.414,16.733,7.2,0,0,0.003006051437216339,0.003111328125,0.09791666666666667,0.0035501915708812263,0.003,0.046275981524249415,0.0034516129032258064,0.001999261992619926,0.007503302509907529,0.0029488817891373804,0.004615733736762481,0.004800390625,0.21916666666666668,0.031078431372549124,0.0046,0.16127118644067792,0.007285714285714287,0.004410873308733088,0.009595772787318362,0.004610223642172524
1705486152,0.7603083015734529,2.1747476838673023,0.3967287538716127,23.355747184677362,0.29564600654084167,7.781997847771239,0.6134680206511064,3.719539633871436,2.842906659131558,0.29456438161707976,0.2595665825912382,106004480,43212800,11628544,44142592,43401216,15622144,37072896,10768384,45998080,2961408,8679424,52326.101305171724,0,0,0,4,4,9,4,3,24,3,4,4,4,2,14.4,23.067,0.733,69.733,0.733,11.333,11.667,0.933,133.414,16.733,6.2,0,0,0.003006051437216339,0.003111328125,0.09791666666666667,0.0035501915708812263,0.003,0.046275981524249415,0.0034516129032258064,0.001999261992619926,0.007503302509907529,0.0029298245614035085,0.004615733736762481,0.004800390625,0.21916666666666668,0.031078431372549124,0.0046,0.16127118644067792,0.007285714285714287,0.004410873308733088,0.009595772787318362,0.004608421052631579
1705486153,0.7603083015734529,2.1747476838673023,0.290121662744391,22.836078107176114,0.29564600654084167,7.781997847771239,0.6134680206511064,3.719539633871436,2.842906659131558,0.2901183197463741,0.2470875252677804,106004480,43212800,11628544,44142592,43401216,15622144,37072896,10768384,45998080,2961408,8679424,52326.101305171724,0,0,0,4,4,9,4,3,24,3,4,4,4,2,14.4,23.067,0.733,69.733,0.733,11.333,11.667,0.933,133.414,16.733,6.2,0,0,0.003006051437216339,0.003111328125,0.09791666666666667,0.0035501915708812263,0.003,0.046275981524249415,0.0034516129032258064,0.001999261992619926,0.007503302509907529,0.0029298245614035085,0.004615733736762481,0.004800390625,0.21916666666666668,0.031078431372549124,0.0046,0.16127118644067792,0.007285714285714287,0.004410873308733088,0.009595772787318362,0.004608421052631579
1705486154,0.7603083015734529,2.1747476838673023,0.29600025313782574,22.316409029674862,0.29564600654084167,7.781997847771239,0.6134680206511064,3.719539633871436,2.842906659131558,0.2901183197463741,0.2470875252677804,106004480,43212800,11628544,44142592,43401216,15622144,37072896,10768384,45998080,2961408,8679424,52326.101305171724,0,0,0,4,4,9,4,3,24,3,4,4,4,2,14.4,22.933,0.667,69.6,0.667,11.333,11.667,0.867,133.347,16.733,6.067,0,0,0.003006051437216339,0.003103515625,0.09038461538461538,0.0035558121632024635,0.003,0.046275981524249415,0.0034827586206896553,0.0019977827050997785,0.007503302509907529,0.002921985815602837,0.004615733736762481,0.004786328125000001,0.21500000000000002,0.030681818181818223,0.0046,0.16127118644067792,0.007428571428571429,0.00441059374230106,0.009595772787318362,0.0045957446808510645
1705486155,0.7603083015734529,2.1747476838673023,0.35271542360608604,21.796739952173617,0.29564600654084167,6.343063764139655,0.5634074252797412,3.719539633871436,1.7762838427009982,0.2901183197463741,0.2470875252677804,106004480,43212800,11628544,44142592,43401216,15622144,37072896,10768384,45998080,2961408,8679424,52326.101305171724,0,0,0,4,4,9,4,3,24,3,4,4,4,2,14.4,22.933,0.667,69.6,0.667,11.333,11.667,0.867,133.347,16.733,6.067,0,0,0.003006051437216339,0.003103515625,0.09038461538461538,0.0035558121632024635,0.003,0.046275981524249415,0.0035,0.0019977827050997785,0.007503302509907529,0.002921985815602837,0.004615733736762481,0.004786328125000001,0.21500000000000002,0.030681818181818223,0.0046,0.16127118644067792,0.0075000000000000015,0.00441059374230106,0.009595772787318362,0.0045957446808510645
1705486156,0.7603083015734529,2.1747476838673023,0.3006854896813933,30.96104052452243,0.29564600654084167,6.471226532333456,0.5634074252797412,3.719539633871436,1.823126153395768,0.2901183197463741,0.2470875252677804,106004480,43212800,11628544,44150784,43401216,15622144,37072896,10768384,45998080,2961408,8679424,52326.101305171724,0,0,0,4,4,9,4,3,24,3,4,4,4,2,14.4,22.933,0.667,69.6,0.667,11.333,11.667,0.867,133.347,16.733,6.067,0,0,0.003006051437216339,0.003103515625,0.09038461538461538,0.0035558121632024635,0.003,0.046275981524249415,0.0035,0.0019977827050997785,0.007503302509907529,0.002921985815602837,0.004615733736762481,0.004786328125000001,0.21500000000000002,0.030681818181818223,0.0046,0.16127118644067792,0.0075000000000000015,0.00441059374230106,0.009595772787318362,0.0045957446808510645
1705486157,0.7603083015734529,2.1747476838673023,0.36132636550487457,30.96104052452243,0.29564600654084167,7.689766091628069,0.5987501301947724,3.719539633871436,1.8699684640905372,0.2901183197463741,0.2470875252677804,106004480,43212800,11870208,44150784,43401216,15622144,37285888,10768384,45998080,2961408,8679424,52326.101305171724,0,0,0,4,4,9,4,3,24,3,4,4,4,2,14.4,22.933,0.667,69.6,0.933,11.333,11.667,0.867,133,16.733,6.067,0,0,0.003006051437216339,0.003103515625,0.09038461538461538,0.0035558121632024635,0.003,0.046275981524249415,0.0035,0.0020341246290801187,0.007503302509907529,0.002921985815602837,0.004615733736762481,0.004786328125000001,0.21500000000000002,0.030681818181818223,0.0046,0.16127118644067792,0.0075000000000000015,0.004415529179030663,0.009595772787318362,0.0045957446808510645
1705486158,0.7603083015734529,2.1747476838673023,0.36132636550487457,30.96104052452243,0.29564600654084167,7.689766091628069,0.5987501301947724,3.719539633871436,1.9168107747853065,0.2901183197463741,0.2470875252677804,106004480,43212800,11870208,44150784,43401216,15622144,37285888,10768384,45998080,2961408,8679424,52326.101305171724,0,0,0,4,4,9,4,3,24,3,4,4,4,2,14.4,22.933,0.667,69.6,0.933,11.333,11.667,0.867,133,16.733,6.067,0,0,0.003006051437216339,0.003103515625,0.09038461538461538,0.0035558121632024635,0.003,0.046275981524249415,0.0035,0.0020341246290801187,0.007503302509907529,0.002921985815602837,0.004615733736762481,0.004786328125000001,0.21500000000000002,0.030681818181818223,0.0046,0.16127118644067792,0.0075000000000000015,0.004415529179030663,0.009595772787318362,0.0045957446808510645
